author,brief,cate,time,title,type_1,type_2
历史系之狼, 一个伟大的帝国刚刚诞生，新的时代即将到来。刘长也曾想过要不要争一争那大位，由自己来率领这个崭新的帝国，可是他看了看自己的周围，刘邦，吕后，刘盈，刘恒...嗯，活着不好吗？于是乎，刘长戴上了穿越者之耻的帽子，开始了混吃等死的咸鱼生活。又名《我愚蠢的欧豆豆》，《这娃其实是项羽的吧？》，《跟你这样的虫豸怎么能治好大汉》等等。 ,连载,2022-06-13 17:37,家父汉高祖,历史,秦汉三国
520农民, 【最卷工业科技都市文】沐阳重生2008年，正值风华正茂，左拥漂亮女友，右握阅读系统。LV1时，每阅读1000字，+1元，+1技能经验；数学：2级（1300/3000）+机械制图CAD：4级（13100/100W）+......升级学科和操作技能，研发新技术，走科技强国之路！从等离子堆焊、热丝自动TIG焊、手持激光焊、机器人激光焊开始，发展基础工业，以一己之力推动全球科技进程。非神豪文、单女生、主打实体工业、怀旧文、轻松、弥补遗憾，从本书开始。前期为机械工业，老农亲自操作示范，卷死同行。 ,连载,2022-06-13 11:32,重生2008：我阅读能赚钱,都市,都市生活
出走八万里, 开局一口棺材。陈洛的穿越从灵堂开始。这是一个读书就能获得超凡威力的世界。读儒门经典，可养浩然正气；读道门典藏，可生先天源炁；读佛门经文，可悟轮回真意；偏偏陈洛的金手指却是一堆天道都不允许在这个世界出现的闲书！……什么？《聊斋》被妖国当做天书？什么？《天龙八部》打开了武学天地？别慌别慌，都是小场面！这位儒生，虎将如云、谋臣如雨的《三国演义》听过吗？那位道士，《封神演义》看过没有？你们道家在里面老牛了！哎，高僧请留步，我这里还有一本《西游记》，你感兴趣吗？……经史子集天上道，说书演义人间貌。你炼阳神他修佛，红尘有我向天笑。 ,连载,2022-06-13 23:07,我用闲书成圣人,仙侠,古典仙侠
新亭, 顾阳穿越到一个高武世界，在一个小村苟了两年，总算攒够了第一桶金，激活了系统，人生模拟器。花费一定金钱，即可进行一次模拟。模拟结束后，可以保留境界，武技，人生智慧三选一。【你当了五年账房先生，攒到钱买了一本功法，十年苦修，成功成为九品武者，遇到敌人，卒！】【你一出山，就是九品，当了某个家族的护院，苦修二十年，突破到第八品，最终，老死于一个小镇。】【你一出山，就是八品，得到一个世家的赏识，被传授高深的武学，由于进步缓慢，被边缘化，十几年后，你终于突破七品，在某次任务中遇到强大的敌人，被杀。】……不知多少次模拟之后，【你遇到的人，没有一个是你的对手。你发现，自己已经无敌了。】 ,连载,2022-06-14 00:13,我的人生可以无限模拟,玄幻,高武世界
辰东, 浩瀚的宇宙中，一片星系的生灭，也不过是刹那的斑驳流光。仰望星空，总有种结局已注定的伤感，千百年后你我在哪里？家国，文明火光，地球，都不过是深空中的一粒尘埃。星空一瞬，人间千年。虫鸣一世不过秋，你我一样在争渡。深空尽头到底有什么？——————书友群见书友圈置顶帖。 ,连载,2022-06-13 23:16,深空彼岸,都市,异术超能
说唱鸽, 【更新日万，月40万+！】感谢联盟归还精灵世界安静祥和，因为我这个“底层”的训练家，跳反了。——源自“底层”训练家、培育家夏彦的《自述》 ,连载,2022-06-13 23:19,精灵世界的底层训练家,轻小说,衍生同人
爆炸小拿铁, “叮咚！”“欢迎使用全智能修真系统！”“您选择修炼【锻骨决】，系统开始为您修炼，系统检测缺少修炼丹药淬骨丹，请稍等……”“系统成功为你偷取了十颗淬骨丹，修炼继续……”“重要提示，系统修炼期间，您将失去身体的控制权……”得到智能修仙系统后，裴凌不声不响的飞速成长，准备一直苟到成仙，直到某一天……“叮咚！”“您选择修炼【无名功法】，系统检测缺少道侣，系统正在为您寻找道侣……”于是，裴凌眼睁睁的看着自己跑向隔壁仙子的修炼室…… ,连载,2022-06-13 23:44,我只想安静的做个苟道中人,仙侠,幻想修仙
奉义天涯, 人格心理学硕士毕业当警察，是一种什么体验？人，可以貌相。对于真正的专家来说，普通人看几眼就能看穿，当然，看穿城府深沉的人难度要大很多。这是一个想研究心理学的人，莫名其妙地成为了破案专家的故事～～相比《警探长》，这本书更…爽一点… ,连载,2022-06-13 23:59,警察陆令,都市,都市生活
倔强的小肥兔, 青梅：“我家相公妙手回春，医者仁心，是渝州城最有名的大夫........”安景：“我家娘子温柔贤惠，厨艺高超，国色天香.......”............月色中，一轮新的剑雨落下，两道身影相互交错。“夫君，你不是大夫吗？”“夫人，你不是大家闺秀吗？” ,连载,2022-06-13 23:32,我的夫人竟是魔教教主,玄幻,东方玄幻
萌俊, 这是一个梦已远，却梦回八零的故事。不是打打杀杀，是人情世故。我的名，张国宾！我已不做大佬好多年。 ,连载,2022-06-13 23:44,我已不做大佬好多年,都市,都市生活
