author,comment,name,press,price,score,time
['[德国]格林兄弟']/['魏以新'],是不是真的只有先与人疏离，才能最终与他们在一起？,格林童话全集, 人民文学出版社 , 21.45元,9.0, 1994-11 
"['[美]', '路易斯·贾内梯']/['焦雄屏']",电影入门经典之作,认识电影, 世界图书出版公司 , 68.00元,8.9, 2007-11 
刘胜利,仁远乎哉？我欲仁，斯仁至矣,论语, 中华书局 , 9.80元,9.1, 2006-12 
"['[美]', '特德·姜']/['李克勤']",特德·姜科幻小说集,你一生的故事, 译林出版社 , 36.00元,8.8, 2015-5 
"['[南非]', '特雷弗·诺亚']/['董帅']",癌症传,天生有罪, 北京联合出版公司 , 58.00,9.1, 2018-2-1 
"['[美]', '悉达多·穆克吉']/['李虎']",从史前史到21世纪,众病之王, 中信出版社 , 42.00元,9.1, 2013-2 
路遥,中国当代城乡生活全景,平凡的世界（全三部）, 人民文学出版社 , 64.00元,9.0, 2005-1 
钱锺书,幽默的语言和对生活深刻的观察,围城, 人民文学出版社 , 19.00,9.0, 1991-2 
金庸,欲练此功，必先自宫,笑傲江湖（全四册）, 生活·读书·新知三联书店 , 76.80元,9.1, 1994-5 
"['[英]', '肯·福莱特']/['于大卫']",“教父三部曲”电影原著,巨人的陨落, 江苏凤凰文艺出版社 , 129.80元,8.9, 2016-5-1 
海子,在混沌纷扰的生活漩流中，寻求人生的真谛,海子的诗, 人民文学出版社 , 15.40,9.0, 1999-04 
['[美]马里奥·普佐']/['周汉林'],对世俗、实用问题深刻而透彻的讨论,教父, 译林出版社 , 23.30元,9.0, 1997-8 
"['[英]', '毛姆']/['张柏然']",北平沦陷时代广大平民的悲惨遭遇,人生的枷锁, 上海译文出版社 , 32.00元,9.1, 2007-3 
['(德)叔本华']/['韦启昌'],即使不能拥有完美的生活，所幸追求过完整的自我,人生的智慧, 上海人民出版社 , 28.00元,9.2, 2008-10-01 
老舍,探索中年的虚无、困惑、野心和近乎残暴的爱,四世同堂, 北京十月文艺出版社 , 36.00元,9.4, 2008-07 
"['[白俄]', 'S·A·阿列克谢耶维奇']/['方祖芳']",面对强大的对手，明知不敌，也要毅然亮剑,我不知道该说什么，关于死亡还是爱情, 花城出版社 , 34.80元,9.1, 2014-6-15 
"['[意]', '埃莱娜·费兰特']/['陈英']",收录自先秦至明末的散文二百二十二篇,我的天才女友, 人民文学出版社 , 42.00元,8.6, 2017-1 
鲁迅,童谣杀人案,故事新编, 人民文学出版社 , 0.31 元,9.4, 1973-12-01 
"['[意]', '伊塔洛·卡尔维诺']/['吴正仪']",我想爱，想吃，还想在一瞬间变成天上半明半暗的云,树上的男爵, 译林出版社 , 30.00元,9.1, 2012-4-1 
"['[英]', '阿加莎・克里斯蒂']/['祁阿红']",所有现代言情小说的母体,无人生还, 人民文学出版社 , 19.00,8.9, 2008-3 
"['(美)', '斯塔夫里阿诺斯']/['吴象婴']",纳粹法西斯对人心灵的折磨及摧残,全球通史, 北京大学出版社 , 168.00元,9.1, 2012-2-1 
"['[奥]', '斯蒂芬·茨威格']/['张玉书']",澳洲乱世情,象棋的故事, 上海译文出版社 , 23.00元,9.1, 2007-7 
['李沧东']/['春喜'],跟火星来一场不是你死就是我活的过家家游戏,鹿川有许多粪, 武汉大学出版社 , 58.00元,9.0, 2021-8 
"['[哥伦比亚]', '加西亚·马尔克斯']/['杨玲']",义无反顾地直达爱情的核心,霍乱时期的爱情, 南海出版公司 , 39.50元,9.0, 2012-9-1 
费孝通,中国乡土社会传统文化和社会结构理论研究代表作,乡土中国, 上海人民出版社 , 38.00,9.2, 2006-04-01 
陈忠实,一轴关于我们民族灵魂的现实主义画卷,白鹿原, 人民文学出版社 , 39.00元,9.2, 2012-9 
鲁迅,我以这一丛野草，在明与暗，生与死，过去与未来之际，献于友与仇，人与兽，爱者与不爱者之前作证。,野草, 人民文学出版社 , 0.20元,9.5, 1973-3 
"['[美]', '斯蒂芬·金']/['施寄青']",豆瓣电影Top1原著,肖申克的救赎, 人民文学出版社 , 29.90元,9.1, 2006-7 
"['[英]', '阿加莎·克里斯蒂']/['陈尧光']",谋杀诡计惊人，波洛的抉择耐人寻味,东方快车谋杀案, 人民文学出版社 , 18.00元,9.0, 2006-5 
王小波,史家之绝唱，无韵之离骚,黄金时代, 花城出版社 , 19.00元,8.9, 1999-3 
"['[英]', '奥斯丁']/['张玲']",窥见美国社会的一扇窗,傲慢与偏见, 人民文学出版社 , 13.00元,8.9, 1993-7 
['司马迁']/['（索隐）司马贞，（正义）张守节'],现实主义与浪漫主义的至高杰作,史记（全十册）, 中华书局 , 125.00,9.5, 1982-11 
"林崇德,主编",用别样的监禁生活再现某种监禁生活，与用不存在的事表现真事同等合理,中国少年儿童百科全书（全四册）, 浙江教育出版社 , 168.00元,9.4, 1991-4 
林达,量子物理史话,历史深处的忧虑, 生活·读书·新知三联书店 , 19.00元,9.0, 1997-5 
"['[澳]', '考琳·麦卡洛']/['曾胡']",唐人传奇贯注现代情趣,荆棘鸟, 译林出版社 , 28.00元,8.6, 1998-7 
"['[美]', '安迪·威尔']/['陈灼']",在各种光怪陆离的场景中，迷失的人性引发了一连串的悲剧,火星救援, 译林出版社 , 38.00,8.9, 2015-10 
王小波,一个母亲、妻子、女儿的生命日记,青铜时代, 花城出版社 , 29.00元,8.8, 1997-5 
"['[英]', '威廉·萨默塞特·毛姆']/['冯亦代']",佛陀的证悟,毛姆短篇小说精选集, 译林出版社 , 36.00元,9.1, 2012-11 
于娟,野马也，尘埃也，生物之以息相吹也,此生未完成, 湖南科学技术出版社 , 26.00元,8.9, 2011-5 
['宗萨蒋扬钦哲仁波切']/['姚仁喜'],中国哲学入门书,正见, 中国友谊出版公司 , 25.00元,8.8, 2007-1 
['大仲马']/['周克希'],一个报恩复仇的故事，以法国波旁王朝和七月王朝为背景,基督山伯爵, 上海译文出版社 , 43.90元,9.0, 1991-12-1 
"['[美]', '傅高义']/['冯克利']",个人命运背后的历史变局,邓小平时代, 生活·读书·新知三联书店 , 88.00元,9.2, 2013-1 
"['[英]', '毛姆']/['傅惟慈']",有多少人会经历顿悟，就有更少的人甘愿自我放逐,月亮和六便士, 上海译文出版社 , 15.00元,9.0, 2006-8 
"['[美]', '彼得·海斯勒']/['李雪顺']",外国人眼中的涪陵,江城, 上海译文出版社 , 36.00元,9.1, 2012-1 
史铁生,这是你的罪孽与福祉,我与地坛, 春风文艺出版社 , 25.00元,9.1, 2002-5 
"['[法]', '雨果']/['李丹']",至情至性，情大于武,悲惨世界（上中下）, 人民文学出版社 , 66.00元,9.0, 1992-6 
"['[法]', '阿尔贝·加缪']/['刘方']",关于时间旅行的终极奥秘和恢宏构想,鼠疫, 上海译文出版社 , 34.00元,9.0, 2013-8 
曹天元,木心留给世界的礼物,上帝掷骰子吗, 辽宁教育出版社 , 32.00元,9.2, 2006-1 
['金庸']/['有1996年11月北平第4次印本'],神魔皆有人情，精魅亦通世故,神雕侠侣, 生活·读书·新知三联书店 , 76.80元,8.9, 1994-5 
"['[美]', '艾萨克·阿西莫夫']/['崔正男']",思无邪,永恒的终结, 江苏凤凰文艺出版社 , 32.00元,9.1, 2014-9 
"木心,口述",白先勇短篇小说集,文学回忆录, 广西师范大学出版社 , 98.00元,9.1, 2013-1-10 
"['孙通海', '译注']/['方勇', '译注']",伴随着惩罚的人性化，自由反而日益丧失了,庄子, 中华书局 , 20.00元,9.4, 2007-04 
['冯友兰']/['赵复三'],科学中的事实和臆测,中国哲学简史, 新世界出版社 , 38.00元,8.9, 2004-1 
"['[苏]', '安德烈·塔可夫斯基']/['张晓东']",一个小商人家庭出身的女子曹七巧的心灵变迁历程,雕刻时光, 南海出版公司 , 45.00元,9.5, 2016-5 
"['[法]', '米歇尔·福柯']/['刘北成']",海上繁花，请静观静读,规训与惩罚, 生活·读书·新知三联书店 , 21.80元,9.3, 2003-1 
"['[英]', '威尔·贡培兹']/['王烁']",一个蜘蛛和小猪的故事，写给孩子，也写给大人,现代艺术150年, 广西师范大学出版社 , 65.00元,9.2, 2017-3-1 
"[美],黄仁宇",见微知著，历史观的颠覆,万历十五年, 生活·读书·新知三联书店 , 18.00元,8.9, 1997-5 
"林海音,文",长亭外，古道边，芳草碧连天,城南旧事, 中国青年出版社 , 16.00元,9.0, 2003-7 
鲁迅,路漫漫其修远兮，吾将上下而求索,彷徨, 人民文学出版社 , 0.37元,9.2, 1973-3 
"['[美]', '卡勒德·胡赛尼']/['李继宏']",为你，千千万万遍,追风筝的人, 上海人民出版社 , 29.00元,8.9, 2006-5 
"['[德]', '赫尔曼·黑塞']/['姜乙']",一把刀的锋刃不容易越过；因此智者说得救之道是困难的,悉达多, 天津人民出版社 , 32.00元,9.4, 2017-1 
['[英]毛姆']/['周煦良'],从最早的洞窟绘画到当今的实验艺术,刀锋, 上海译文出版社 , 18.00元,9.0, 2007-3 
